Time,Channel 0,Sensor
5.9025,4059,545
5.904166667,4057,547
5.905833333,4057,539
5.9075,4058,541
5.909166667,4057,543
5.910833333,4058,546
5.9125,4059,542
5.914166667,4058,545
5.915833333,4058,541
5.9175,4059,544
5.919166667,4058,545
5.920833333,4057,545
5.9225,4058,542
5.924166667,4058,545
5.925833333,4057,543
5.9275,4058,546
5.929166667,4058,548
5.930833333,4058,543
5.9325,4059,543
5.934166667,4058,547
5.935833333,4058,546
5.9375,4058,546
5.939166667,4058,543
5.940833333,4059,548
5.9425,4059,545
5.944166667,4058,549
5.945833333,4057,547
5.9475,4059,539
5.949166667,4058,541
5.950833333,4057,545
5.9525,4058,546
5.954166667,4058,545
5.955833333,4058,543
5.9575,4058,544
5.959166667,4058,548
5.960833333,4058,547
5.9625,4057,545
5.964166667,4059,545
5.965833333,4058,542
5.9675,4058,548
5.969166667,4057,545
5.970833333,4058,549
5.9725,4058,544
5.974166667,4057,544
5.975833333,4058,547
5.9775,4058,547
5.979166667,4058,549
5.980833333,4058,543
5.9825,4058,543
5.984166667,4058,546
5.985833333,4058,548
5.9875,4058,548
5.989166667,4058,549
5.990833333,4058,546
5.9925,4060,550
5.994166667,4057,549
5.995833333,4057,547
5.9975,4059,548
5.999166667,4058,546
6.000833333,4057,544
6.0025,4058,552
6.004166667,4058,548
6.005833333,4058,544
6.0075,4058,542
6.009166667,4059,546
6.010833333,4058,549
6.0125,4057,545
6.014166667,4058,547
6.015833333,4058,545
6.0175,4059,546
6.019166667,4057,551
6.020833333,4057,545
6.0225,4057,544
6.024166667,4057,545
6.025833333,4058,546
6.0275,4058,548
6.029166667,4058,546
6.030833333,4057,544
6.0325,4058,543
6.034166667,4058,548
6.035833333,4058,547
6.0375,4057,548
6.039166667,4059,544
6.040833333,4058,546
6.0425,4058,548
6.044166667,4058,548
6.045833333,4058,549
6.0475,4058,543
6.049166667,4058,548
6.050833333,4058,549
6.0525,4058,548
6.054166667,4058,551
6.055833333,4058,545
6.0575,4058,546
6.059166667,4059,551
6.060833333,4058,550
6.0625,4058,547
6.064166667,4058,544
6.065833333,4058,544
6.0675,4057,546
6.069166667,4057,552
6.070833333,4059,547
6.0725,4058,547
6.074166667,4059,546
6.075833333,4058,546
6.0775,4058,550
6.079166667,4058,548
6.080833333,4059,546
6.0825,4058,544
6.084166667,4059,546
6.085833333,4058,547
6.0875,4057,548
6.089166667,4057,542
6.090833333,4057,543
6.0925,4058,548
6.094166667,4057,551
6.095833333,4058,549
6.0975,4058,545
6.099166667,4058,545
6.100833333,4058,547
6.1025,4058,549
6.104166667,4057,549
6.105833333,4058,545
6.1075,4058,546
6.109166667,4058,549
6.110833333,4058,549
6.1125,4058,552
6.114166667,4057,545
6.115833333,4059,549
6.1175,4060,545
6.119166667,4058,555
6.120833333,4058,549
6.1225,4058,546
6.124166667,4059,548
6.125833333,4058,550
6.1275,4058,550
6.129166667,4058,550
6.130833333,4059,548
6.1325,4058,547
6.134166667,4058,549
6.135833333,4058,551
6.1375,4057,550
6.139166667,4059,544
6.140833333,4059,546
6.1425,4057,551
